Region,Genre,Platform,Game,Sales (million),Year
North America,Action,DS,Pokemon HeartGold/Pokemon SoulSilver,4.4,2009.0
North America,Action,DS,The Legend of Zelda: Phantom Hourglass,1.9,2007.0
North America,Action,DS,LEGO Star Wars: The Complete Saga,2.89,2007.0
North America,Action,DS,The Legend of Zelda: Spirit Tracks,1.43,2009.0
North America,Action,DS,LEGO Batman: The Videogame,1.79,2008.0
North America,Action,DS,Hannah MontaNorth America,1.59,2006.0
North America,Action,DS,LEGO Harry Potter: Years 1-4,1.07,2010.0
North America,Action,DS,LEGO Indiana Jones: The Original Adventures,1.42,2008.0
North America,Action,DS,Toy Story 3: The Video Game,0.93,2010.0
North America,Action,DS,Phineas and Ferb,1.34,2009.0
North America,Action,DS,Ben 10: Protector of Earth,0.69,2007.0
North America,Action,DS,SpongeBob's Atlantis SquarePantis,1.5,2007.0
North America,Action,DS,Hannah Montana: Music Jam,1.06,2007.0
North America,Action,DS,The Simpsons Game,0.57,2007.0
North America,Action,DS,Bakugan: Battle Brawlers,1.27,2009.0
North America,Action,DS,Grand Theft Auto: Chinatown Wars,0.59,2009.0
North America,Action,DS,Kung Fu Panda,0.56,2008.0
North America,Action,DS,Ratatouille,0.5,2007.0
North America,Action,DS,Transformers: Autobots / Decepticons,1.12,2007.0
North America,Action,DS,LEGO Indiana Jones 2: The Adventure Continues,0.66,2009.0
North America,Action,DS,LEGO Star Wars III: The Clone Wars,0.66,2011.0
North America,Action,DS,LEGO Star Wars II: The Original Trilogy,0.96,2006.0
North America,Action,DS,Disney Tangled,0.58,2010.0
North America,Action,DS,LEGO Pirates of the Caribbean: The Video Game,0.37,2011.0
North America,Action,DS,Mega Man Star Force Dragon / Leo / Pegasus,0.39,2006.0
North America,Action,DS,Ben 10: Alien Force,0.65,2008.0
North America,Action,DS,Star Wars: The Force Unleashed,0.51,2008.0
North America,Action,DS,Scooby-Doo! First Frights,0.63,2009.0
North America,Action,DS,Harry Potter and the Order of the Phoenix,0.28,2007.0
North America,Action,DS,Disney's The Little Mermaid: Ariel's Undersea Adventure,0.73,2006.0
North America,Action,DS,Star Wars The Clone Wars: Jedi Alliance,0.62,2008.0
North America,Action,DS,Drawn to Life,0.71,2007.0
North America,Action,DS,LEGO Batman 2: DC Super Heroes,0.43,2012.0
North America,Action,DS,Madagascar: Escape 2 Africa,0.42,2008.0
North America,Action,DS,LEGO Harry Potter: Years 5-7,0.35,-1.0
North America,Action,DS,Up,0.31,2009.0
North America,Action,DS,Harry Potter and the Half-Blood Prince,0.21,2009.0
North America,Action,DS,The Golden Compass,0.28,2007.0
North America,Action,DS,Mega Man Star Force 2: Zerker x Ninja / Saurian,0.25,2007.0
North America,Action,DS,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0.53,2008.0
North America,Action,DS,Phineas and Ferb: Across the 2nd Dimension,0.32,2011.0
North America,Action,DS,G-Force,0.27,2009.0
North America,Action,DS,How to Train Your Dragon,0.32,2010.0
North America,Action,DS,Guinness World Records: The Videogame,0.47,2008.0
North America,Action,DS,Iron Man,0.35,2008.0
North America,Action,DS,Monsters vs. Aliens,0.33,2009.0
North America,Action,DS,Spider-Man 2,0.41,2004.0
North America,Action,DS,Bakugan Battle Brawlers: Defenders of the Core,0.42,2010.0
North America,Action,DS,LEGO Marvel Super Heroes,0.28,2013.0
North America,Action,DS,Crash of the Titans,0.42,2007.0
North America,Action,DS,Go Diego Go! Great Dinosaur Rescue,0.44,2008.0
North America,Action,DS,Nickelodeon Team Umizoomi,0.45,2011.0
North America,Action,DS,Hamsterz Life,0.43,2006.0
North America,Action,DS,Clash of Elementalists,0.0,2010.0
North America,Action,DS,Spider-Man: Friend or Foe,0.43,2007.0
North America,Action,DS,Mega Man Star Force 3: Black Ace / Red Joker,0.22,2008.0
North America,Action,DS,Transformers: Dark of the Moon - Autobots/Decepticons,0.34,2011.0
North America,Action,DS,Transformers: Revenge of the Fallen (Wii & PS2 Version),0.27,2009.0
North America,Action,DS,Bee Movie Game,0.41,2007.0
North America,Action,DS,Dragon Quest Heroes: Rocket Slime,0.13,2005.0
North America,Action,DS,Barbie: Groom and Glam Pups,0.26,2010.0
North America,Action,DS,The Smurfs,0.24,2011.0
North America,Action,DS,Naruto: Ninja Council 3,0.39,2006.0
North America,Action,DS,Ben 10 Alien Force: Vilgax Attacks,0.22,2009.0
North America,Action,DS,Harry Potter and the Deathly Hallows - Part 1,0.2,2010.0
North America,Action,DS,SpongeBob's Truth or Square (US sales),0.42,2009.0
North America,Action,DS,Ghostbusters: The Video Game,0.26,2009.0
North America,Action,DS,Star Wars The Clone Wars: Republic Heroes,0.23,2009.0
North America,Action,DS,Avatar: The Game,0.19,2009.0
North America,Action,DS,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,0.27,2009.0
North America,Action,DS,Planet 51,0.22,2009.0
North America,Action,DS,Scooby-Doo! and the Spooky Swamp,0.26,2010.0
North America,Action,DS,Ice Age: Dawn of the Dinosaurs,0.2,2009.0
North America,Action,DS,Digging for Dinosaurs,0.35,2010.0
North America,Action,DS,Mini Ninjas,0.17,2009.0
North America,Action,DS,SpongeBob SquarePants: The Yellow Avenger,0.32,2005.0
North America,Action,DS,Pirates of the Caribbean: At World's End,0.3,2007.0
North America,Action,DS,Avatar: The Last Airbender - The Burning Earth,0.31,2007.0
North America,Action,DS,Iron Man 2,0.15,2010.0
North America,Action,DS,Power Rangers Samurai,0.27,2011.0
North America,Action,DS,Night at the Museum: Battle of the Smithsonian,0.12,2009.0
North America,Action,DS,Transformers: Revenge of the Fallen (DS Versions),0.17,2009.0
North America,Action,DS,1001 Touch Games,0.12,2011.0
North America,Action,DS,MySims SkyHeroes,0.22,2010.0
North America,Action,DS,Bratz: Girlz Really Rock,0.18,2008.0
North America,Action,DS,Phineas and Ferb Ride Again,0.25,2010.0
North America,Action,DS,Star Wars Episode III: Revenge of the Sith,0.25,2005.0
North America,Action,DS,Happy Feet,0.27,2006.0
North America,Action,DS,Dr. Seuss: How the Grinch Stole Christmas,0.29,2007.0
North America,Action,DS,Nicktoons: Battle for Volcano Island,0.28,2006.0
North America,Action,DS,Shrek the Third,0.26,-1.0
North America,Action,DS,Batman: The Brave and the Bold the Videogame,0.24,2010.0
North America,Action,DS,Looney Tunes: Duck Amuck,0.28,2007.0
North America,Action,DS,The Suite Life of Zack & Cody: Circle of Spies,0.17,2007.0
North America,Action,DS,Bratz: Super Babyz,0.26,2008.0
North America,Action,DS,Kung Zhu,0.26,2010.0
North America,Action,DS,Assassin's Creed II: Discovery,0.15,2009.0
North America,Action,DS,Beyblade: Metal Masters,0.16,2010.0
North America,Action,DS,Resident Evil: Deadly Silence,0.12,2006.0
North America,Action,DS,The Penguins of Madagascar,0.13,2010.0
North America,Action,DS,Indiana Jones and the Staff of Kings,0.17,2009.0
North America,Action,DS,The Suite Life of Zack & Cody: Tipton Trouble,0.23,2006.0
North America,Action,DS,Tongari Boushi to Oshare na Mahou Tsukai,0.0,2011.0
North America,Action,DS,The Incredible Hulk,0.22,2008.0
North America,Action,DS,Harry Potter and the Goblet of Fire,0.21,2005.0
North America,Action,DS,Harry Potter and the Deathly Hallows - Part 2,0.12,2011.0
North America,Action,DS,Star Wars: The Force Unleashed II,0.18,2010.0
North America,Action,DS,Kung Fu Panda 2,0.16,2011.0
North America,Action,DS,Naruto Shippuden: Ninja Council 4,0.09,2007.0
North America,Action,DS,Marvel Super Hero Squad: The Infinity Gauntlet,0.17,2010.0
North America,Action,DS,Ninja Gaiden: Dragon Sword,0.17,2008.0
North America,Action,DS,The Chronicles of Narnia: Prince Caspian,0.19,2008.0
North America,Action,DS,Wedding Dash,0.2,2009.0
North America,Action,DS,The Amazing Spider-Man (Console Version),0.15,2012.0
North America,Action,DS,Tomb Raider: Underworld,0.16,2008.0
North America,Action,DS,X-Men Origins: Wolverine,0.15,2009.0
North America,Action,DS,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,0.0,2005.0
North America,Action,DS,Spider-Man: Shattered Dimensions,0.17,2010.0
North America,Action,DS,Penguin no Mondai X: Tenkuu no 7 Senshi,0.0,2009.0
North America,Action,DS,The Last Airbender,0.13,2010.0
North America,Action,DS,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.15,2005.0
North America,Action,DS,Chaotic: Shadow Warriors,0.17,2009.0
North America,Action,DS,Shrek SuperSlam,0.17,2005.0
North America,Action,DS,Aliens: Infestation,0.1,2011.0
